Тканини;2013;4340.00;4420.00;4;17360.0;17680.0
Одяг та білизна;2013;6280.00;6720.00;7.5;47100.0;50400.0
Взуття;2013;5260.00;5854.00;7.5;39450.0;43905.0
Трикотаж;2013;3720.00;3682.00;7.5;27900.0;27615.0
Галантерея;2013;2410.00;2694.00;9.5;22895.0;25593.0
Тканини;2014;4600.00;4640.00;4;18400.0;18560.0
Одяг та білизна;2014;6800.00;7400.00;7.5;51000.0;55500.0
Взуття;2014;6000.00;6250.00;7.5;45000.0;46875.0
Трикотаж;2014;3800.00;3850.00;7.5;28500.0;28875.0
Галантерея;2014;2700.00;3000.00;9.5;25650.0;28500.0
Тканини;2015;4700.00;4625.00;4;18800.0;18500.0
Одяг та білизна;2015;6700.00;6630.00;7.5;50250.0;49725.0
Взуття;2015;6700.00;6500.00;7.5;50250.0;48750.0
Трикотаж;2015;4300.00;4500.00;7.5;32250.0;33750.0
Галантерея;2015;3500.00;3590.00;9.5;33250.0;34105.0
